filename,size_gb,source,drive_id,drive_letter,copied_date,status
takeout-20260409T090414Z-001.tgz,0,G:\My Drive\Takeout,wd-passport-01,D,2026-04-10,copied
takeout-20260409T090414Z-3-001.tgz,49.67,G:\My Drive\Takeout,wd-passport-01,D,2026-04-09,copied
takeout-20260409T090414Z-3-002.tgz,49.97,G:\My Drive\Takeout,wd-passport-01,D,2026-04-09,copied
takeout-20260409T090414Z-3-003.tgz,49.71,G:\My Drive\Takeout,wd-passport-01,D,2026-04-09,copied
takeout-20260409T090414Z-3-004.tgz,49.46,G:\My Drive\Takeout,wd-passport-01,D,2026-04-09,copied
takeout-20260409T090414Z-3-005.tgz,49.99,G:\My Drive\Takeout,wd-passport-01,D,2026-04-09,copied
takeout-20260409T090414Z-3-006.tgz,49.62,G:\My Drive\Takeout,wd-passport-01,D,2026-04-09,copied
takeout-20260409T090414Z-3-007.tgz,49.96,G:\My Drive\Takeout,wd-passport-01,D,2026-04-09,copied
takeout-20260409T090414Z-3-008.tgz,49.35,G:\My Drive\Takeout,wd-passport-01,D,2026-04-09,copied
takeout-20260409T090414Z-3-009.tgz,49.68,G:\My Drive\Takeout,wd-passport-01,D,2026-04-09,copied
takeout-20260409T090414Z-3-010.tgz,49.75,G:\My Drive\Takeout,wd-passport-01,D,2026-04-09,copied
takeout-20260409T090414Z-3-011.tgz,49.5,G:\My Drive\Takeout,wd-passport-01,D,2026-04-09,copied
takeout-20260409T090414Z-3-012.tgz,49.67,G:\My Drive\Takeout,wd-passport-01,D,2026-04-09,copied
takeout-20260409T090414Z-3-013.tgz,49.47,G:\My Drive\Takeout,wd-passport-01,D,2026-04-09,copied
takeout-20260409T090414Z-3-014.tgz,49.56,G:\My Drive\Takeout,wd-passport-01,D,2026-04-09,copied
takeout-20260409T090414Z-3-015.tgz,49.46,G:\My Drive\Takeout,wd-passport-01,D,2026-04-09,copied
takeout-20260409T090414Z-3-016.tgz,49.69,G:\My Drive\Takeout,wd-passport-01,D,2026-04-09,copied
takeout-20260409T090414Z-3-017.tgz,50,G:\My Drive\Takeout,wd-passport-01,D,2026-04-09,copied
takeout-20260409T090414Z-3-018.tgz,49.7,G:\My Drive\Takeout,wd-passport-01,D,2026-04-09,copied
takeout-20260409T090414Z-3-019.tgz,48.92,G:\My Drive\Takeout,wd-passport-01,D,2026-04-09,copied
takeout-20260409T090414Z-3-020.tgz,49.84,G:\My Drive\Takeout,wd-passport-01,D,2026-04-09,copied
takeout-20260409T090414Z-3-021.tgz,49.68,G:\My Drive\Takeout,wd-passport-01,D,2026-04-09,copied
takeout-20260409T090414Z-3-022.tgz,49.64,G:\My Drive\Takeout,wd-passport-01,D,2026-04-09,copied
takeout-20260409T090414Z-3-023.tgz,50,G:\My Drive\Takeout,wd-passport-01,D,2026-04-09,copied
takeout-20260409T090414Z-3-024.tgz,49.74,G:\My Drive\Takeout,wd-passport-01,D,2026-04-09,copied
takeout-20260409T090414Z-3-025.tgz,49.74,G:\My Drive\Takeout,wd-passport-01,D,2026-04-09,copied
takeout-20260409T090414Z-3-026.tgz,49.86,G:\My Drive\Takeout,wd-passport-01,D,2026-04-09,copied
takeout-20260409T090414Z-3-027.tgz,49.02,G:\My Drive\Takeout,wd-passport-01,D,2026-04-09,copied
takeout-20260409T090414Z-3-028.tgz,49.99,G:\My Drive\Takeout,wd-passport-01,D,2026-04-09,copied
